Date,Close,High,Low,Open,Volume
2023-08-25,64647.28906,64936.32314,64454.59968,64647.28906,7032462
2023-08-28,64358.24219,64550.93154,64069.20817,64358.24219,5824628
2023-08-29,64358.24219,64743.62088,64165.55284,64454.58686,9114352
2023-08-30,64647.28906,65225.35722,64647.28906,64839.97845,9181223
2023-08-31,64454.59375,64743.6278,63972.87033,64647.28312,15964630
2023-09-01,68404.71875,68404.71875,64261.89776,64358.24243,29738235
2023-09-04,68597.41406,70235.27367,68115.69065,70235.27367,26286495
2023-09-05,68115.69531,68886.45283,67633.97187,68308.38469,12330239
2023-09-06,67441.26563,68212.02295,67152.23163,68115.67828,11414620
2023-09-07,67826.66406,68019.35345,67055.90652,67441.28529,13741241
2023-09-08,67730.3125,67730.3125,67055.89972,67633.96782,10688118
2023-09-11,68212.03906,68212.03906,67441.28156,67826.66031,11785462
2023-09-12,67923.00781,68404.73127,67826.66312,68212.04189,11688599
2023-09-13,68308.38281,68982.79562,67730.31469,68501.07219,15955797
2023-09-14,69079.14844,69175.49314,68212.04616,68597.42495,21041407
2023-09-15,69368.17188,69657.20592,68790.10378,69079.13783,17823512
2023-09-18,67633.97656,69079.147,67633.97656,68693.76822,16040727
2023-09-19,67248.59375,68212.04065,67055.90437,67826.66189,11820188
2023-09-20,67055.89844,67730.31121,66959.55376,67441.27716,10873015
2023-09-21,66381.49219,67248.59441,66285.1475,66670.52626,10796336
2023-09-22,66285.14844,66381.49313,65803.42498,65803.42498,9897840
2023-09-25,66863.20313,67152.23714,65996.10107,65996.10107,13582516
2023-09-26,66438.05469,67793.93335,66244.35774,67793.93335,13143470
2023-09-27,66244.34375,66922.28294,66050.64684,66438.04066,14886491
2023-10-04,65372.71094,65566.40786,64597.92325,65275.86248,23361149
2023-10-05,64597.92969,65275.86898,64597.92969,65179.02051,16108313
2023-10-06,63919.99219,65179.02234,63919.99219,64985.32539,14386527
2023-10-10,64307.38281,65469.56443,64113.68588,64113.68588,19889202
2023-10-11,66050.65625,67212.83788,65760.11084,66438.05013,25209349
2023-10-12,66728.60156,67503.38939,66050.66221,66438.05613,19311380
2023-10-13,65856.95313,66341.19543,65566.40774,65856.95313,9724086
2023-10-16,65179.01563,66341.19718,64694.77331,65760.1064,12599299
2023-10-17,67212.82813,67697.0704,65275.85901,65566.40438,17299253
2023-10-18,68278.17188,68278.17188,66631.74787,66728.59634,16493184
2023-10-19,67309.6875,67793.92986,67212.83903,67503.38444,13985012
2023-10-20,66631.75,67019.1439,65953.81068,66728.59847,15204495
2023-10-23,66244.34375,66922.28294,66050.64684,66534.88912,11625959
2023-10-24,66341.19531,66631.74069,65566.40763,66534.89223,12791710
2023-10-25,65856.95313,66631.74081,65760.10466,66631.74081,10610703
2023-10-26,64597.92969,65760.11133,64597.92969,64888.4751,15517624
2023-10-27,65179.01563,65179.01563,64597.92485,64985.3187,11334726
2023-10-30,65179.01563,65663.25794,64597.92485,64694.77331,10139270
2023-10-31,64791.625,66147.50355,64791.625,65469.56428,14488892
2023-11-01,66438.05469,66728.60012,65179.0245,65372.72145,13775256
2023-11-02,67503.375,67793.92037,67212.82963,67793.92037,16350031
2023-11-03,67406.53125,67987.62204,67309.68279,67503.37971,10322234
2023-11-06,68665.5625,68665.5625,67115.98704,67600.22937,22228489
2023-11-07,68665.5625,68665.5625,67793.9263,68375.0171,17228731
2023-11-08,67697.07813,69149.80512,67503.38119,69052.95666,12901310
2023-11-09,68084.46875,68568.71106,67406.52952,67697.0749,12301373
2023-11-10,68278.17188,68278.17188,67309.68717,67793.92952,9684347
2023-11-13,68181.32813,69052.96442,68084.47965,69052.96442,9246919
2023-11-14,68568.71875,68859.26417,68375.0218,68762.4157,9567984
2023-11-15,69924.60156,69924.60156,69246.66221,69343.51069,20148677
2023-11-16,70505.6875,70699.38444,70021.44514,70215.14208,15860451
2023-11-17,70215.14063,70699.38297,70021.44369,70021.44369,11494644
2023-11-20,70408.83594,70699.38134,69827.74513,69827.74513,10610157
2023-11-21,70505.6875,71086.77833,70408.83903,70796.23292,9712881
2023-11-22,70505.6875,70699.38444,69634.05125,69924.59667,11105143
2023-11-23,70118.28125,70893.06889,69924.58434,70699.37198,6775614
2023-11-24,69440.35938,70311.99569,69440.35938,70118.29873,6676685
2023-11-27,69052.95313,69827.74082,68859.2562,69246.65005,9113857
2023-11-28,70408.83594,70408.83594,69052.95739,69149.80586,13283081
2023-11-29,70408.83594,70505.68441,69924.5936,70118.29053,9283933
2023-11-30,70505.6875,70505.6875,69924.59667,70408.83903,15783714
2023-12-01,69730.89844,70215.14079,69440.35303,70118.29232,9871284
2023-12-04,70311.97656,70602.52192,70118.27966,70505.67347,10229267
2023-12-05,68956.10938,70118.29099,68956.10938,70021.44253,12129682
2023-12-06,69440.35938,69827.75329,69343.5109,69537.20785,8123087
2023-12-07,69246.64844,69634.04227,68859.2546,69537.19382,8862017
2023-12-08,70311.97656,70505.67347,69634.03739,69827.7343,10859463
2023-12-11,70699.375,70699.375,69924.58733,70505.67808,9861960
2023-12-12,71183.625,71183.625,70796.23112,70989.92806,13758646
2023-12-13,70505.6875,71183.6268,70505.6875,70989.92986,13116766
2023-12-14,70796.22656,71958.40812,70215.13578,71764.71119,27567593
2023-12-15,70989.92969,71667.86899,70893.08122,71474.17205,15419815
2023-12-18,70602.52344,71086.76571,70505.67498,70989.91726,9690551
2023-12-19,71086.77344,71086.77344,70505.68265,70699.37958,8907632
2023-12-20,72442.65625,72539.50472,71474.17154,71861.56542,16870156
2023-12-21,72636.35156,72636.35156,71958.41228,72248.95769,13478766
2023-12-22,73507.98438,73895.37823,73023.74205,73411.13591,14515608
2023-12-26,74185.92188,74282.77034,73314.28572,73701.67957,13164909
2023-12-27,75899.50781,75899.50781,74439.90189,74634.51602,20651042
2023-12-28,76386.04688,76386.04688,75412.97621,75607.59035,17797536
2024-01-02,77456.41406,77651.02817,76094.11532,76094.11532,17142847
2024-01-03,74926.4375,76677.96461,74926.4375,76386.04343,21753644
2024-01-04,74537.20313,75218.3525,74050.66786,74050.66786,15324439
2024-01-05,74537.20313,75023.73839,74342.58902,74634.51018,11304316
2024-01-08,74439.90625,75412.97692,74342.59918,74926.44158,11088724
2024-01-09,72688.36719,75607.57872,72299.13898,75315.65757,26019249
2024-01-10,71617.99219,73174.90506,71228.76397,72980.29095,20259529
2024-01-11,71228.77344,71618.00171,70742.2381,70936.85223,57691266
2024-01-12,71131.45313,72104.52362,70839.53198,71034.14608,13038939
2024-01-15,71909.91406,72007.22112,71228.76467,71228.76467,2957915
2024-01-16,70644.91406,71715.29155,70547.60702,71520.67746,14760415
2024-01-17,69088.00781,71326.07004,69088.00781,71131.45593,22683660
2024-01-18,69769.17188,70061.0931,68796.10114,69671.8648,17853397
2024-01-19,72688.36719,72688.36719,71034.14732,71520.68257,23363427
2024-01-22,73077.59375,73953.35719,72980.2867,73856.05014,19673375
2024-01-23,73174.91406,73758.75646,72299.15046,73661.4494,14786224
2024-01-24,72007.22656,73174.91132,71520.69125,73174.91132,12860661
2024-01-25,72104.52344,72785.67278,71715.29524,72201.83049,11737747
2024-01-26,71423.38281,72493.76048,71326.07575,71715.304,11160062
2024-01-29,72396.44531,73174.90171,71520.68186,71812.60301,13976521
2024-01-30,72299.14844,73272.21908,71715.30605,72980.29788,12244418
2024-01-31,70742.23438,72007.22619,70547.62025,71423.38381,15703560
2024-02-01,71617.99219,72201.83452,70936.84281,71034.14986,19881033
2024-02-02,73174.91406,73174.91406,71715.30806,72007.22926,14955881
2024-02-05,72299.14844,72785.68376,71520.69193,72201.84137,19026021
2024-02-06,72396.44531,72688.36646,71326.06776,72299.13826,14559254
2024-02-07,72980.29688,73466.83219,72299.14744,72591.06863,16566445
2024-02-08,72104.52344,73174.90098,71617.98819,72980.28688,20810708
2024-02-13,73174.91406,73174.91406,72396.45753,72785.6858,21966745
2024-02-14,72007.22656,72299.14775,71715.30537,71715.30537,12434945
2024-02-15,71228.77344,72396.45825,71034.1593,72201.84411,14120600
2024-02-16,70839.53906,71423.38142,70547.61789,71326.07436,13444781
2024-02-19,71812.60938,71909.91643,70839.53879,70839.53879,12726404
2024-02-20,71326.07813,71715.30638,70839.5428,71715.30638,14681477
2024-02-21,71034.14844,71715.29781,70936.84138,71423.37665,11503495
2024-02-22,71131.45313,71909.90952,70742.22493,71812.60247,15208934
2024-02-23,70936.83594,72201.82752,70936.83594,71617.98525,16225166
2024-02-26,70839.53906,71228.7673,70255.69671,70353.00377,14669352
2024-02-27,70936.83594,71423.37116,70742.22185,71131.45003,13201981
2024-02-28,71228.77344,71909.92291,70839.54517,70936.85223,11795859
2024-02-29,71423.38281,71423.38281,70061.08396,70644.92632,21176403
2024-03-04,72882.99219,72980.29925,72007.2286,72299.14979,23210474
2024-03-05,71715.3125,72785.6903,71715.3125,72591.07615,19505125
2024-03-06,70936.83594,71520.67821,70742.22185,71228.75707,21547905
2024-03-07,70255.70313,71326.08087,70255.70313,71131.46674,14516963
2024-03-08,71326.07813,71423.38519,70644.92867,70839.5428,19271349
2024-03-11,70450.30469,71131.45404,70352.99764,70936.83994,9740504
2024-03-12,71326.07813,71520.69225,70158.39335,70644.92867,13011654
2024-03-13,72104.52344,72104.52344,71520.68114,71715.29524,15243134
2024-03-14,72299.14844,72493.76257,71617.99899,72396.4555,22545539
2024-03-15,70353.00781,71715.30672,70353.00781,71423.38552,22580555
2024-03-18,70839.53906,71034.15318,70547.61789,70644.92494,11520348
2024-03-19,70839.53906,71034.15318,69769.16141,70353.00377,15376066
2024-03-20,74829.125,75121.04616,71423.37809,71715.29925,50106297
2024-03-21,77164.48438,77164.48438,75607.5717,77067.17733,44569799
2024-03-22,76775.26563,77748.33617,75704.88803,77456.415,26724761
2024-03-25,76094.125,77651.03804,75704.89674,77456.42391,18703996
2024-03-26,77748.33594,77942.95004,77067.18656,77553.72183,30551494
2024-03-27,77651.03125,77845.64536,77067.18891,77067.18891,17424595
2024-03-28,78981.39063,79176.88912,77417.40269,77612.90118,25084812
2024-03-29,80545.38281,80643.13206,79079.14405,79372.3918,27126366
2024-04-01,80154.39063,81425.13096,80154.39063,81327.38171,20116513
2024-04-02,83086.86719,83086.86719,81034.13282,81034.13282,37077944
2024-04-03,82207.125,83086.86831,81620.62946,82402.62351,30493347
2024-04-04,83380.10938,83575.60787,82402.61689,83282.36013,25248934
2024-04-05,82598.13281,83086.87916,81913.88793,82598.13281,18883752
2024-04-08,82598.13281,84064.37186,82598.13281,83282.3777,18953232
